gene,log2FC,p_perm,FDR
THRAP3,-1.0764667592357169,0.8267716535433071,1.0
STK40,0.2340170163022819,0.5826771653543307,1.0
LSM10,-2.976349906057497,0.10236220472440945,1.0
MRPS15,-1.764006964191645,0.2204724409448819,1.0
CSF3R,0.36347414423651614,0.7795275590551181,1.0
ZC3H12A,-1.027929218832373,0.2992125984251969,1.0
MEAF6,-0.9360068059573856,0.5590551181102362,1.0
SNIP1,-1.5555973083085468,0.28346456692913385,1.0
GNL2,1.7620815532205358,0.09448818897637795,1.0
YRDC,-0.2169041288261333,0.9212598425196851,1.0
C1orf122,-2.1363992618965977,0.13385826771653545,1.0
MTF1,-1.7046304056701969,0.2440944881889764,1.0
SF3A3,-0.6237215593624215,0.6692913385826772,1.0
FHL3,-3.0694944957275676,0.09448818897637795,1.0
UTP11,0.4870504742218442,0.7322834645669292,1.0
RRAGC,0.018284158667795758,0.984251968503937,1.0
MYCBP,-2.8393025459469134,0.07874015748031496,1.0
AKIRIN1,-0.006599657227249089,1.0,1.0
NDUFS5,-0.9588316201454266,0.6141732283464567,1.0
MACF1,-0.7346626257081859,0.9291338582677166,1.0
PABPC4,1.4925259215643587,0.28346456692913385,1.0
CAP1,-1.3395553696897444,0.5669291338582677,1.0
PPT1,-0.032275757520437764,0.984251968503937,1.0
RLF,0.2970473415061923,0.6850393700787402,1.0
ZMPSTE24,0.1790840508454794,0.7559055118110236,1.0
COL9A2,-1.0500560569708157,0.4881889763779528,1.0
SMAP2,-0.3663470258456094,0.7401574803149606,1.0
NFYC-AS1,-0.9996875129952405,0.5669291338582677,1.0
NFYC,0.09793340903507808,0.84251968503937,1.0
CITED4,1.3519484846827527,0.6377952755905512,1.0
HIVEP3,1.9448522166186912,0.1732283464566929,1.0
FOXJ3,1.255586558303854,0.4409448818897638,1.0
PPCS,-0.655217939060174,0.7244094488188977,1.0
CCDC30,0.41169301393273816,0.7007874015748031,1.0
YBX1,-0.44440942989831367,0.6456692913385826,1.0
SVBP,0.08151312236654862,0.9212598425196851,1.0
SLC2A1,-0.37176733857406896,0.8582677165354331,1.0
EBNA1BP2,-2.1878125072044075,0.16535433070866143,1.0
C1orf210,-0.09591938648387144,1.0,1.0
ELOVL1,-1.0138952823200755,0.5905511811023622,1.0
MED8,1.7311680277433323,0.18110236220472442,1.0
SZT2,0.16621070678387273,0.8582677165354331,1.0
KDM4A,-1.500562662465301,0.2125984251968504,1.0
IPO13,-0.5529329402333054,0.6850393700787402,1.0
ATP6V0B,-0.4785985198259972,0.3543307086614173,1.0
B4GALT2,-0.33764768513134513,0.6850393700787402,1.0
DMAP1,-0.4611815045327652,0.7007874015748031,1.0
RNF220,-1.6321339601524096,0.11811023622047244,1.0
C1orf228,-0.917776006546918,0.5118110236220472,1.0
KIF2C,-0.7187894380756508,0.5669291338582677,1.0
RPS8,0.027081199929943622,0.9763779527559056,1.0
RPS15AP11,-1.5329938528426044,0.33070866141732286,1.0
PLK3,0.7111844440102066,0.5748031496062992,1.0
BTBD19,0.11428318451124664,0.9606299212598425,1.0
HECTD3,1.3335176990000468,0.2047244094488189,1.0
UROD,-1.8559819058425484,0.1889763779527559,1.0
TESK2,0.11152505679395164,0.8346456692913385,1.0
PRDX1,-0.5050719142243083,0.8740157480314961,1.0
AKR1A1,-0.030215262042074365,0.9606299212598425,1.0
NASP,-1.3841951966174473,0.36220472440944884,1.0
CCDC17,-1.5139015793799393,0.1732283464566929,1.0
GPBP1L1,-0.19135823177743916,0.6771653543307087,1.0
TMEM69,1.2527145505419153,0.44881889763779526,1.0
LRRC41,-0.2940188590879913,0.7874015748031497,1.0
UQCRH,0.29926687272805363,0.6929133858267716,1.0
NSUN4,-1.2188479307017737,0.4094488188976378,1.0
MKNK1,1.2710793561637326,0.4645669291338583,1.0
MOB3C,-1.124251225473186,0.48031496062992124,1.0
ATPAF1,0.4393347472991971,0.7637795275590551,1.0
EFCAB14,0.41129990542821027,0.5118110236220472,1.0
PDZK1IP1,2.0106057978917216,0.29133858267716534,1.0
TAL1,1.3698588906384839,0.3700787401574803,1.0
CMPK1,0.04089244518763646,0.9921259842519685,1.0
FAF1,-1.0569662313784678,0.44881889763779526,1.0
